Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,1770.000000,1776.900024,1756.550049,1764.000000,1648.617432,214453
2014-01-02,1759.000000,1814.800049,1759.000000,1768.400024,1652.729858,1565710
2014-01-03,1766.000000,1808.650024,1752.250000,1798.599976,1680.954224,583504
2014-01-06,1805.000000,1819.400024,1792.550049,1807.699951,1689.459351,549379
2014-01-07,1838.000000,1854.250000,1820.099976,1845.750000,1725.020386,1614578
2014-01-08,1850.000000,1860.000000,1827.050049,1837.500000,1717.309814,1398622
2014-01-09,1858.800049,1859.000000,1801.099976,1811.800049,1693.291016,947521
2014-01-10,1811.099976,1814.550049,1768.000000,1794.099976,1676.748901,670378
2014-01-13,1800.000000,1814.750000,1765.000000,1782.750000,1666.141235,559984
2014-01-14,1783.000000,1791.800049,1759.099976,1773.349976,1657.356079,530939
2014-01-15,1790.000000,1807.000000,1767.099976,1800.099976,1682.356323,612338
2014-01-16,1803.099976,1810.800049,1785.000000,1789.849976,1672.776611,429527
2014-01-17,1778.199951,1808.800049,1766.300049,1775.199951,1659.085083,310359
2014-01-20,1774.000000,1797.349976,1762.000000,1778.199951,1661.888794,340046
2014-01-21,1782.000000,1812.699951,1782.000000,1801.900024,1684.038452,541958
2014-01-22,1805.500000,1819.000000,1795.000000,1807.849976,1689.599365,424767
2014-01-23,1796.099976,1819.900024,1788.449951,1793.800049,1676.468384,493794
2014-01-24,1784.900024,1804.900024,1769.250000,1774.250000,1658.197144,377713
2014-01-27,1755.000000,1755.000000,1690.000000,1702.300049,1590.953247,923081
2014-01-28,1715.000000,1751.500000,1540.400024,1566.000000,1463.568604,6599087
2014-01-29,1615.199951,1697.800049,1615.199951,1673.849976,1564.364258,6737926
2014-01-30,1668.000000,1674.000000,1625.599976,1635.900024,1528.896484,1651215
2014-01-31,1655.000000,1655.000000,1620.849976,1636.250000,1529.223633,729347
2014-02-03,1620.000000,1660.000000,1613.050049,1618.500000,1512.634644,957497
2014-02-04,1601.000000,1630.000000,1590.000000,1619.650024,1513.709351,703285
2014-02-05,1619.000000,1623.099976,1602.099976,1606.699951,1501.606567,627278
2014-02-06,1610.199951,1644.949951,1593.000000,1639.699951,1532.447998,1237835
2014-02-07,1654.949951,1670.400024,1648.500000,1664.949951,1556.046387,921283
2014-02-10,1665.000000,1701.599976,1665.000000,1688.849976,1578.383179,896683
2014-02-11,1690.250000,1698.000000,1668.099976,1678.150024,1568.382935,294694
2014-02-12,1685.000000,1689.800049,1643.099976,1647.699951,1539.924805,442825
2014-02-13,1646.000000,1658.800049,1632.500000,1641.250000,1533.896606,439092
2014-02-14,1642.000000,1653.550049,1615.650024,1643.400024,1535.906006,451950
2014-02-17,1635.000000,1674.900024,1635.000000,1665.699951,1556.747314,617227
2014-02-18,1675.000000,1733.650024,1666.099976,1708.449951,1596.701050,954637
2014-02-19,1714.000000,1721.000000,1692.000000,1698.099976,1587.028076,341015
2014-02-20,1697.000000,1706.000000,1674.199951,1683.300049,1573.196411,344996
2014-02-21,1686.099976,1702.400024,1671.550049,1675.599976,1565.999878,340948
2014-02-24,1675.000000,1695.000000,1645.800049,1684.400024,1574.224243,326898
2014-02-25,1690.099976,1693.900024,1672.400024,1678.000000,1568.242798,245384
2014-02-26,1668.000000,1684.099976,1651.000000,1664.050049,1555.205444,584837
2014-02-28,1640.000000,1659.050049,1573.000000,1589.000000,1485.064331,1768632
