Date,WIPRO.NS,BAJAJ-AUTO.NS,HDFCBANK.NS,HEROMOTOCO.NS,TCS.NS,INFY.NS,NESTLEIND.NS,MARUTI.NS,RELIANCE.NS,TATAMOTORS.NS,NSE Index
2014-01-01,194.602112,1614.936401,317.783875,1683.8299559999998,922.8095089999999,361.273071,4832.496094,1648.617432,417.225403,369.242859,6221.149902
2014-01-02,194.690125,1600.32312,313.890106,1679.551514,928.6806029999999,362.580475,4803.702147999999,1652.729858,410.747345,366.682404,6211.149902
2014-01-03,195.975281,1596.532959,316.804443,1696.100464,952.336975,371.393463,4852.328125,1680.9542239999998,405.701019,357.17929100000003,6191.450195
2014-01-06,196.46817,1590.426636,316.13562,1670.146606,959.7938230000001,366.471344,4901.501953,1689.4593510000002,401.335358,361.364594,6162.25
2014-01-07,193.721878,1591.8165279999998,317.425598,1670.227539,945.4583130000001,360.142822,4896.269531,1725.020386,395.303253,359.542755,6174.600098
2014-01-08,192.64798000000002,1615.69458,317.56890899999996,1666.715942,956.8154300000001,357.116608,4933.116699,1717.309814,398.565796,364.61438,6168.350098
2014-01-09,190.447388,1608.2404789999998,316.732819,1669.66272,960.800781,359.481262,4888.036133,1693.2910160000001,399.340302,362.349396,6171.450195
2014-01-10,194.83093300000002,1600.533936,316.30276499999997,1646.09021,977.492798,369.945496,4918.150879,1676.748901,402.83752400000003,361.413849,6272.75
2014-01-13,197.68293799999998,1596.7438960000002,321.462616,1644.3948970000001,1015.1417849999999,381.79519700000003,4937.210449,1666.141235,413.28225699999996,370.424561,6241.850098
2014-01-14,194.91896100000002,1575.476929,321.19986,1644.556519,997.142395,384.06097400000004,4894.041015999999,1657.356079,413.798615,366.14077799999995,6320.899902
2014-01-15,197.418854,1595.227539,325.14141800000004,1673.860474,1008.6493529999999,386.696533,4764.58252,1682.356323,415.652832,371.557068,6318.899902
2014-01-16,201.239044,1606.808716,321.55816699999997,1676.403076,1007.2349849999999,388.050873,4667.419434,1672.776611,415.981445,364.121979,6261.649902
2014-01-17,194.602112,1628.454468,317.712219,1675.676514,948.415527,388.54040499999996,4765.400390999999,1659.085083,415.324249,364.07275400000003,6303.950195
2014-01-20,201.767197,1626.8122560000002,320.12493900000004,1683.95105,1002.049316,390.576996,4731.602051,1661.888794,408.28283700000003,369.193604,6313.799805
2014-01-21,201.239044,1635.992676,323.01535,1669.460693,977.236084,391.519775,4710.087402,1684.038452,405.137726,378.942902,6338.950195
2014-01-22,204.56620800000002,1642.141235,323.49316400000004,1662.8813480000001,974.557251,392.306244,4680.564941,1689.5993649999998,409.550293,380.22308300000003,6345.649902
2014-01-23,204.760864,1633.171143,324.639801,1657.795898,965.300842,395.077301,4624.841309,1676.468384,406.42861899999997,377.761169,6266.75
2014-01-24,202.761047,1626.9807130000002,321.725433,1644.112549,963.693909,391.498901,4622.70459,1658.197144,407.297089,364.762085,6135.850098
2014-01-27,201.94696000000002,1611.0622560000002,310.16357400000004,1628.047974,957.210693,388.795654,4594.410156,1590.9532470000001,395.796173,342.949249,6126.25
2014-01-28,200.902802,1637.9296880000002,307.894226,1625.141846,949.8050539999999,382.847412,4511.849609000001,1463.5686039999998,396.59411600000004,350.827454,6120.25
2014-01-29,202.28320300000001,1611.18811,308.371948,1672.2457279999999,948.7103880000001,387.295563,4579.033691,1564.364258,392.721375,346.395966,6073.700195
2014-01-30,202.177017,1617.842163,301.850464,1612.9921880000002,952.059143,385.884064,4499.52002,1528.8964839999999,387.276062,356.243744,6089.5
2014-01-31,203.539764,1601.544678,300.273865,1589.6625980000001,962.126648,385.555847,4591.726563,1529.223633,390.16308599999996,344.22943100000003,6001.799805
2014-02-03,200.318802,1541.99707,299.318329,1583.85022,942.120483,378.060638,4493.016602000001,1512.634644,385.35143999999997,331.279633,6000.899902
2014-02-04,196.673111,1573.539551,301.277161,1603.305542,923.61676,370.971619,4512.850098,1513.709351,385.656525,340.585785,6022.399902
2014-02-05,198.354385,1595.817261,304.549896,1605.000732,942.098816,373.070648,4560.793945,1501.606567,383.638062,349.694946,6036.299805
2014-02-06,201.239059,1597.712036,309.112457,1601.7717289999998,933.877441,371.242401,4548.42041,1532.447998,382.980804,352.206146,6063.200195
2014-02-07,198.796799,1630.0548099999999,309.470795,1618.966431,920.632813,371.539307,4563.614746,1556.0463869999999,382.323639,354.717346,6053.450195
2014-02-10,199.34541299999998,1630.0548099999999,307.631439,1614.324341,898.801941,372.294678,4580.263672,1578.383179,385.84432999999996,358.508759,6062.700195
2014-02-11,199.327713,1631.0233150000001,308.061371,1583.689087,902.300842,374.633331,4601.506348,1568.3829349999999,378.00494399999997,368.799683,6084.0
2014-02-12,199.079956,1623.442993,308.371948,1594.223877,903.91095,375.034393,4599.231445,1539.924805,383.943115,370.916962,6001.100098
2014-02-13,196.51384,1602.681519,302.184906,1588.290283,916.060669,373.544769,4638.760742,1533.896606,379.01419100000004,370.22763100000003,6048.350098
2014-02-14,199.5578,1549.409058,306.628113,1563.911133,930.721985,379.638824,4624.205566,1535.9060060000002,385.891235,382.882019,
2014-02-17,198.566711,1554.252075,310.736847,1592.528442,929.648315,381.081635,4552.741211,1556.747314,381.314331,380.715515,6127.100098
2014-02-18,197.168625,1553.6623539999998,315.514526,1597.896851,929.906128,383.566193,4571.348633,1596.70105,381.713348,385.44244399999997,6152.75
2014-02-19,200.177185,1533.658813,320.12493900000004,1569.5214839999999,943.622864,391.00415,4601.687988000001,1587.028076,381.290894,385.540924,6091.450195
