Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,161.309998,163.309998,149.520004,153.309998,119.423523,117412100
2015-02-01,154.000000,164.990005,151.509995,161.940002,126.145996,77656900
2015-03-01,161.940002,165.350006,153.399994,160.500000,125.901299,104911500
2015-04-01,160.229996,175.130005,158.389999,171.289993,134.365326,93836100
2015-05-01,173.199997,176.300003,168.839996,169.649994,133.078842,57928700
2015-06-01,170.210007,171.559998,162.119995,162.660004,128.561325,80847700
2015-07-01,163.970001,173.779999,158.500000,161.990005,128.031784,93854600
2015-08-01,161.699997,161.850006,140.619995,147.889999,116.887543,93728000
2015-09-01,144.910004,149.679993,141.149994,144.970001,115.530876,81813300
2015-10-01,145.309998,153.149994,137.330002,140.080002,111.633865,120475900
2015-11-01,140.500000,142.800003,131.649994,139.419998,111.107918,85437000
2015-12-01,139.580002,141.399994,133.910004,137.619995,110.702187,97680800
2016-01-01,135.600006,136.889999,118.000000,124.790001,100.381676,126233100
2016-02-01,124.400002,134.919998,116.900002,131.029999,105.401176,106715800
2016-03-01,132.240005,153.100006,132.029999,151.449997,123.071510,105746700
2016-04-01,150.509995,153.520004,142.610001,145.940002,118.593964,94482500
2016-05-01,146.559998,153.809998,142.899994,153.740005,124.932419,75249000
2016-06-01,153.000000,155.479996,142.500000,151.779999,124.529945,76973700
2016-07-01,151.779999,163.600006,149.919998,160.619995,131.782867,69425000
2016-08-01,160.649994,164.949997,157.850006,158.880005,130.355240,69706500
2016-09-01,158.320007,165.000000,153.210007,158.850006,131.456284,69937000
2016-10-01,158.059998,158.529999,147.789993,153.690002,127.186073,78327200
2016-11-01,153.500000,164.660004,151.000000,162.220001,134.245117,76338800
2016-12-01,161.949997,169.949997,158.300003,165.990005,138.611145,69470400
2017-01-01,167.000000,179.250000,165.339996,174.520004,145.734192,88764500
2017-02-01,175.000000,182.789993,172.889999,179.820007,150.159988,59820600
2017-03-01,180.479996,182.550003,172.089996,174.139999,146.566650,79477000
2017-04-01,173.820007,176.330002,159.600006,160.289993,134.909668,100052300
2017-05-01,160.050003,160.419998,149.789993,152.630005,128.462570,103329100
2017-06-01,152.800003,157.199997,150.800003,153.830002,130.737335,83977000
2017-07-01,153.580002,156.029999,143.639999,144.669998,122.952431,93293500
2017-08-01,145.000000,145.669998,139.130005,143.029999,121.558609,80246500
2017-09-01,142.979996,147.419998,141.639999,145.080002,124.603638,78296700
2017-10-01,145.350006,162.509995,145.210007,154.059998,132.316193,125345600
2017-11-01,154.100006,154.899994,146.210007,153.970001,132.238892,89775600
2017-12-01,154.399994,157.850006,151.490005,153.419998,133.083572,88788100
2018-01-01,154.500000,171.130005,153.539993,163.699997,142.000931,145086400
2018-02-01,163.190002,164.130005,144.399994,155.830002,135.174133,102364900
2018-03-01,155.529999,162.110001,148.539993,153.429993,134.402649,94316900
2018-04-01,153.339996,162.000000,144.110001,144.960007,126.983040,122745300
2018-05-01,144.649994,146.199997,139.899994,141.309998,123.785683,88812900
2018-06-01,142.429993,147.520004,137.449997,139.699997,123.733826,89801400
2018-07-01,138.279999,150.539993,138.199997,144.929993,128.366089,94954000
2018-08-01,144.759995,147.929993,142.000000,146.479996,129.738922,79195100
2018-09-01,145.979996,153.350006,144.809998,151.210007,135.375305,95867900
2018-10-01,151.710007,154.360001,114.089996,115.430000,103.342171,198093000
2018-11-01,115.500000,125.059998,114.540001,124.269997,111.256447,141718900
2018-12-01,125.669998,126.589996,105.940002,113.669998,103.062599,115604100
2019-01-01,112.010002,135.410004,111.690002,134.419998,121.876251,120387100
2019-02-01,134.970001,140.490005,132.119995,138.130005,125.240044,68461200
2019-03-01,139.309998,142.119995,133.580002,141.100006,129.423477,74687300
2019-04-01,141.509995,145.389999,136.259995,140.270004,128.662170,80197500
2019-05-01,140.550003,141.809998,126.849998,126.989998,116.481133,75536400
2019-06-01,127.099998,140.149994,127.059998,137.899994,127.990768,61341600
2019-07-01,139.600006,151.940002,139.130005,148.240005,137.587784,80161300
2019-08-01,148.899994,152.949997,128.830002,135.529999,125.791084,96250600
2019-09-01,134.850006,146.570007,133.330002,145.419998,136.560715,61812000
2019-10-01,145.589996,147.350006,130.899994,133.729996,125.582901,91420200
2019-11-01,134.500000,139.139999,132.750000,134.449997,126.259041,64772300
2019-12-01,134.449997,136.419998,130.690002,134.039993,127.360703,71853900
