Date,WIPRO.NS,BAJAJ-AUTO.NS,HDFCBANK.NS,HEROMOTOCO.NS,TCS.NS,INFY.NS,NESTLEIND.NS,MARUTI.NS,RELIANCE.NS,TATAMOTORS.NS,NSE Index
2014-01-01,,,,,,,,,,,
2014-01-02,-0.02003539989773806,0.0015665796344648264,-0.004491017964071808,0.002880460873739832,-0.006467637891001021,-0.008233104238258848,0.006758034026465021,-0.006214689265536699,-0.010864115487682402,-0.006886448110248189,0.012711779091450092
2014-01-03,-0.01031306387717179,-0.013034410844629862,-0.019548872180451093,-0.0066778128291048455,-0.0006002068328716526,0.0033927669096947,0.007369854011172183,0.003979533826037551,-0.018136724832224282,-0.01853581926292902,-0.002679790706759918
2014-01-06,0.023583219574268677,0.0015847860538826808,0.016871165644171793,0.012529818262711157,0.029703907897532078,0.028805783021582876,0.002050326188257179,0.02208380520951292,-0.010899532972361459,-0.001358684878729366,0.004726026593929919
2014-01-07,-0.0033935050942772715,-0.008438818565400852,0.006183975867269931,-0.01425475371910101,0.004934948407357531,-0.01567789614134496,0.007059188058035737,0.018282548476454386,-0.00869967392059956,-0.0013605334149071613,0.00671350322505576
2014-01-08,-0.01612902871237598,0.007925544680851049,-0.002848094840884774,0.0018830099055888727,-0.012499999999999956,-0.01649594271414001,-0.003518741826918581,0.006528835690968515,-0.011935438920981922,-0.00517715592879997,0.0005583812220496922
2014-01-09,-0.003642986435568263,0.010185195395828517,-0.003006614497776061,-0.002674722409638508,0.0075723327305605714,-0.006067610517191513,0.005579361720657872,0.0047567832432431345,0.007164890950741354,0.01944674203975194,0.0021596157333541566
2014-01-10,-0.007129768053775298,-0.004701703181686057,-0.00037696018618282867,-0.0030925618650055053,0.014021312394840058,0.014534883720930258,-0.006451612903225823,-0.02566175583310404,-0.002469329578494772,-0.005910838005815933,0.0011976181461975871
2014-01-13,0.021911215175188348,-0.005222523229006737,-0.004299020964494749,-0.015026295661138334,0.01106194690265494,0.026361031518624678,0.00927643784786647,-0.006128858785871993,0.023457367889924363,0.007162190380540112,-0.013442043059866833
2014-01-14,0.013603615011333225,-0.0038253528558237493,0.01355857040661368,0.0019438256463928383,0.03807439824945291,0.017587939698492372,-0.005514705882352922,-0.009444444444444478,0.011805349881119476,0.0065745630971763,0.0029391640908909564
