Symbol,Date,Expiry,Strike Price,Call Price,Put Price
RELIANCE,14-Feb-14,27-Mar-14,900,5.55,78
RELIANCE,14-Feb-14,24-Apr-14,900,18.9,75.05
RELIANCE,17-Feb-14,26-Feb-14,900,0.3,84.85
RELIANCE,17-Feb-14,27-Mar-14,900,3.45,78
RELIANCE,17-Feb-14,24-Apr-14,900,18.9,75.05
RELIANCE,18-Feb-14,26-Feb-14,900,0.3,81.5
RELIANCE,18-Feb-14,27-Mar-14,900,3.6,78
RELIANCE,18-Feb-14,24-Apr-14,900,18.9,75.05
RELIANCE,19-Feb-14,26-Feb-14,900,0.3,89.45
RELIANCE,19-Feb-14,27-Mar-14,900,3.3,78
RELIANCE,19-Feb-14,24-Apr-14,900,18.9,75.05
RELIANCE,20-Feb-14,26-Feb-14,900,0.2,89.45
RELIANCE,20-Feb-14,27-Mar-14,900,3.1,78
RELIANCE,20-Feb-14,24-Apr-14,900,18.9,75.05
RELIANCE,21-Feb-14,26-Feb-14,900,0.15,89.45
RELIANCE,21-Feb-14,27-Mar-14,900,2.25,78
RELIANCE,21-Feb-14,24-Apr-14,900,18.9,75.05
RELIANCE,24-Feb-14,26-Feb-14,900,0.05,84
RELIANCE,24-Feb-14,27-Mar-14,900,2.55,78
RELIANCE,24-Feb-14,24-Apr-14,900,18.9,75.05
RELIANCE,25-Feb-14,26-Feb-14,900,0.1,87.5
RELIANCE,25-Feb-14,27-Mar-14,900,1.75,78
RELIANCE,25-Feb-14,24-Apr-14,900,18.9,75.05
RELIANCE,26-Feb-14,26-Feb-14,900,0.05,91.55
RELIANCE,26-Feb-14,27-Mar-14,900,1.05,81.7
RELIANCE,26-Feb-14,24-Apr-14,900,18.9,75.05
RELIANCE,28-Feb-14,27-Mar-14,900,0.85,88.9
RELIANCE,28-Feb-14,24-Apr-14,900,10,75.05
RELIANCE,28-Feb-14,29-May-14,900,10.3,78.05
RELIANCE,03-Mar-14,27-Mar-14,900,0.85,88.9
RELIANCE,03-Mar-14,24-Apr-14,900,5.5,75.05
