,Symbol_x,Date,Expiry,Strike Price,Call Price,Symbol_y,Put Price
57,BAJAJ-AUTO,24-Nov-2014,27-Nov-2014,3000,1.8,BAJAJ-AUTO,679.35
58,BAJAJ-AUTO,24-Nov-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
59,BAJAJ-AUTO,24-Nov-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
60,BAJAJ-AUTO,25-Nov-2014,27-Nov-2014,3000,1.8,BAJAJ-AUTO,679.35
61,BAJAJ-AUTO,25-Nov-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
62,BAJAJ-AUTO,25-Nov-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
63,BAJAJ-AUTO,26-Nov-2014,27-Nov-2014,3000,1.8,BAJAJ-AUTO,679.35
64,BAJAJ-AUTO,26-Nov-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
65,BAJAJ-AUTO,26-Nov-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
66,BAJAJ-AUTO,27-Nov-2014,27-Nov-2014,3000,1.8,BAJAJ-AUTO,679.35
67,BAJAJ-AUTO,27-Nov-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
68,BAJAJ-AUTO,27-Nov-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
69,BAJAJ-AUTO,28-Nov-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
70,BAJAJ-AUTO,28-Nov-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
71,BAJAJ-AUTO,28-Nov-2014,26-Feb-2015,3000,31.15,BAJAJ-AUTO,317.6
72,BAJAJ-AUTO,01-Dec-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
73,BAJAJ-AUTO,01-Dec-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
74,BAJAJ-AUTO,01-Dec-2014,26-Feb-2015,3000,31.15,BAJAJ-AUTO,317.6
75,BAJAJ-AUTO,02-Dec-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
76,BAJAJ-AUTO,02-Dec-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
77,BAJAJ-AUTO,02-Dec-2014,26-Feb-2015,3000,31.15,BAJAJ-AUTO,317.6
78,BAJAJ-AUTO,03-Dec-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
79,BAJAJ-AUTO,03-Dec-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
80,BAJAJ-AUTO,03-Dec-2014,26-Feb-2015,3000,31.15,BAJAJ-AUTO,317.6
81,BAJAJ-AUTO,04-Dec-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
82,BAJAJ-AUTO,04-Dec-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
83,BAJAJ-AUTO,04-Dec-2014,26-Feb-2015,3000,31.15,BAJAJ-AUTO,317.6
84,BAJAJ-AUTO,05-Dec-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
85,BAJAJ-AUTO,05-Dec-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
86,BAJAJ-AUTO,05-Dec-2014,26-Feb-2015,3000,31.15,BAJAJ-AUTO,317.6
87,BAJAJ-AUTO,08-Dec-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
88,BAJAJ-AUTO,08-Dec-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
89,BAJAJ-AUTO,08-Dec-2014,26-Feb-2015,3000,31.15,BAJAJ-AUTO,317.6
90,BAJAJ-AUTO,09-Dec-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
91,BAJAJ-AUTO,09-Dec-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
92,BAJAJ-AUTO,09-Dec-2014,26-Feb-2015,3000,31.15,BAJAJ-AUTO,317.6
93,BAJAJ-AUTO,10-Dec-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
94,BAJAJ-AUTO,10-Dec-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
95,BAJAJ-AUTO,10-Dec-2014,26-Feb-2015,3000,31.15,BAJAJ-AUTO,317.6
96,BAJAJ-AUTO,11-Dec-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
97,BAJAJ-AUTO,11-Dec-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
98,BAJAJ-AUTO,11-Dec-2014,26-Feb-2015,3000,31.15,BAJAJ-AUTO,317.6
99,BAJAJ-AUTO,12-Dec-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
100,BAJAJ-AUTO,12-Dec-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
101,BAJAJ-AUTO,12-Dec-2014,26-Feb-2015,3000,31.15,BAJAJ-AUTO,317.6
102,BAJAJ-AUTO,15-Dec-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
103,BAJAJ-AUTO,15-Dec-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
104,BAJAJ-AUTO,15-Dec-2014,26-Feb-2015,3000,31.15,BAJAJ-AUTO,317.6
105,BAJAJ-AUTO,16-Dec-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
106,BAJAJ-AUTO,16-Dec-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
107,BAJAJ-AUTO,16-Dec-2014,26-Feb-2015,3000,31.15,BAJAJ-AUTO,317.6
108,BAJAJ-AUTO,17-Dec-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
109,BAJAJ-AUTO,17-Dec-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
110,BAJAJ-AUTO,17-Dec-2014,26-Feb-2015,3000,31.15,BAJAJ-AUTO,317.6
111,BAJAJ-AUTO,18-Dec-2014,24-Dec-2014,3000,5.45,BAJAJ-AUTO,589.2
112,BAJAJ-AUTO,18-Dec-2014,29-Jan-2015,3000,36.6,BAJAJ-AUTO,394.35
113,BAJAJ-AUTO,18-Dec-2014,26-Feb-2015,3000,31.15,BAJAJ-AUTO,317.6
