,Symbol_x,Date,Expiry,Strike Price,Call Price,Symbol_y,Put Price
69,HDFCBANK,02-May-2014,29-May-2014,900,3.0,HDFCBANK,201.35
70,HDFCBANK,02-May-2014,26-Jun-2014,900,6.6,HDFCBANK,138.05
71,HDFCBANK,02-May-2014,31-Jul-2014,900,2.75,HDFCBANK,147.6
72,HDFCBANK,05-May-2014,29-May-2014,900,3.0,HDFCBANK,201.35
73,HDFCBANK,05-May-2014,26-Jun-2014,900,6.6,HDFCBANK,138.05
74,HDFCBANK,05-May-2014,31-Jul-2014,900,2.75,HDFCBANK,147.6
75,HDFCBANK,06-May-2014,29-May-2014,900,2.95,HDFCBANK,201.35
76,HDFCBANK,06-May-2014,26-Jun-2014,900,6.6,HDFCBANK,138.05
77,HDFCBANK,06-May-2014,31-Jul-2014,900,2.75,HDFCBANK,147.6
78,HDFCBANK,07-May-2014,29-May-2014,900,2.95,HDFCBANK,201.35
79,HDFCBANK,07-May-2014,26-Jun-2014,900,6.6,HDFCBANK,138.05
80,HDFCBANK,07-May-2014,31-Jul-2014,900,2.75,HDFCBANK,147.6
81,HDFCBANK,08-May-2014,29-May-2014,900,2.95,HDFCBANK,201.35
82,HDFCBANK,08-May-2014,26-Jun-2014,900,6.6,HDFCBANK,138.05
83,HDFCBANK,08-May-2014,31-Jul-2014,900,2.75,HDFCBANK,147.6
84,HDFCBANK,09-May-2014,29-May-2014,900,7.15,HDFCBANK,201.35
85,HDFCBANK,09-May-2014,26-Jun-2014,900,6.6,HDFCBANK,138.05
86,HDFCBANK,09-May-2014,31-Jul-2014,900,2.75,HDFCBANK,147.6
87,HDFCBANK,12-May-2014,29-May-2014,900,10.05,HDFCBANK,201.35
88,HDFCBANK,12-May-2014,26-Jun-2014,900,6.6,HDFCBANK,138.05
89,HDFCBANK,12-May-2014,31-Jul-2014,900,2.75,HDFCBANK,147.6
90,HDFCBANK,13-May-2014,29-May-2014,900,3.45,HDFCBANK,201.35
91,HDFCBANK,13-May-2014,26-Jun-2014,900,6.6,HDFCBANK,138.05
92,HDFCBANK,13-May-2014,31-Jul-2014,900,2.75,HDFCBANK,147.6
93,HDFCBANK,14-May-2014,29-May-2014,900,3.55,HDFCBANK,201.35
94,HDFCBANK,14-May-2014,26-Jun-2014,900,6.6,HDFCBANK,138.05
95,HDFCBANK,14-May-2014,31-Jul-2014,900,2.75,HDFCBANK,147.6
96,HDFCBANK,15-May-2014,29-May-2014,900,3.15,HDFCBANK,201.35
97,HDFCBANK,15-May-2014,26-Jun-2014,900,6.6,HDFCBANK,138.05
98,HDFCBANK,15-May-2014,31-Jul-2014,900,2.75,HDFCBANK,147.6
99,HDFCBANK,16-May-2014,29-May-2014,900,1.4,HDFCBANK,201.35
100,HDFCBANK,16-May-2014,26-Jun-2014,900,6.6,HDFCBANK,138.05
101,HDFCBANK,16-May-2014,31-Jul-2014,900,2.75,HDFCBANK,147.6
102,HDFCBANK,19-May-2014,29-May-2014,900,1.05,HDFCBANK,201.35
103,HDFCBANK,19-May-2014,26-Jun-2014,900,15.0,HDFCBANK,138.05
104,HDFCBANK,19-May-2014,31-Jul-2014,900,2.75,HDFCBANK,147.6
105,HDFCBANK,20-May-2014,29-May-2014,900,1.5,HDFCBANK,201.35
106,HDFCBANK,20-May-2014,26-Jun-2014,900,10.0,HDFCBANK,138.05
107,HDFCBANK,20-May-2014,31-Jul-2014,900,2.75,HDFCBANK,147.6
108,HDFCBANK,21-May-2014,29-May-2014,900,0.5,HDFCBANK,201.35
109,HDFCBANK,21-May-2014,26-Jun-2014,900,10.0,HDFCBANK,138.05
110,HDFCBANK,21-May-2014,31-Jul-2014,900,2.75,HDFCBANK,147.6
111,HDFCBANK,22-May-2014,29-May-2014,900,0.5,HDFCBANK,201.35
112,HDFCBANK,22-May-2014,26-Jun-2014,900,10.0,HDFCBANK,138.05
113,HDFCBANK,22-May-2014,31-Jul-2014,900,2.75,HDFCBANK,147.6
114,HDFCBANK,23-May-2014,29-May-2014,900,0.5,HDFCBANK,201.35
115,HDFCBANK,23-May-2014,26-Jun-2014,900,10.0,HDFCBANK,138.05
